Sample,Site,Position,SampleTime_PDT,AnalysisDate_UTC,NO3_mg_L,DOC_mg_L
1,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:19:05,0.257,3.273
1,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:20:11,0.229,3.321
1,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:20:58,0.232,3.253
2,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:23:29,0.202,3.288
2,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:24:18,0.226,3.249
2,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:27:12,0.198,3.28
3,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:32:18,0.209,3.378
3,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:33:08,0.221,3.367
3,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:33:49,0.219,3.374
4,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:35:26,0.196,3.273
4,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:35:59,0.189,3.238
4,GreenRoof,upper,2018.09.17 16:30,2018.09.18  01:36:29,0.189,3.244
5,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:37:52,0.656,6.32
5,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:38:26,0.676,6.271
5,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:39:05,0.693,6.305
6,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:40:56,0.59,4.968
6,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:41:34,0.576,4.98
6,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:42:06,0.569,4.962
7,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:44:30,0.557,5.459
7,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:44:58,0.537,5.459
7,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:45:21,0.558,5.437
8,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:46:51,0.532,5.647
8,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:47:32,0.552,5.696
8,GreenRoof,middle,2018.09.17 16:30,2018.09.18  01:48:02,0.52,5.675
9,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:50:41,0.722,6.924
9,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:51:23,0.785,6.932
9,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:51:58,0.772,6.904
10,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:53:12,0.705,6.511
10,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:53:41,0.677,6.498
10,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:54:06,0.704,6.513
11,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:55:45,0.694,6.482
11,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:56:27,0.708,6.5
11,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:56:47,0.705,6.544
12,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:57:52,0.71,6.612
12,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:58:43,0.721,6.565
12,GreenRoof,lower,2018.09.17 16:30,2018.09.18  01:59:12,0.727,6.58
13,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:00:43,0.211,4.479
13,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:01:06,0.231,4.444
13,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:01:31,0.207,4.516
14,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:03:10,0.188,4.416
14,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:03:34,0.202,4.405
14,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:03:57,0.211,4.416
15,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:04:59,0.198,4.191
15,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:05:56,0.215,4.374
15,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:06:32,0.243,4.341
16,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:08:48,0.179,4.377
16,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:09:11,0.194,4.372
16,UniBlvd,upper,2018.09.17 16:30,2018.09.18  02:09:32,0.198,4.367
17,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:10:43,0.62,5.588
17,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:11:05,0.651,5.562
17,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:11:32,0.645,5.571
18,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:12:38,0.567,5.34
18,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:13:13,0.602,5.587
18,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:13:57,0.621,5.638
19,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:15:15,0.232,4.823
19,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:15:48,0.237,4.787
19,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:16:20,0.245,4.846
20,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:17:32,0.308,4.964
20,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:17:59,0.333,4.913
20,UniBlvd,middle,2018.09.17 16:30,2018.09.18  02:18:27,0.295,4.959
21,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:19:41,0.302,4.703
21,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:20:12,0.294,4.755
21,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:20:36,0.309,4.702
22,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:21:30,0.17,4.417
22,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:22:12,0.155,4.43
22,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:22:32,0.157,4.433
23,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:23:39,0.271,4.63
23,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:24:11,0.306,4.564
23,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:24:38,0.301,4.593
24,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:25:26,0.216,4.646
24,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:25:49,0.222,4.627
24,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:26:18,0.212,4.677
25,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:27:11,0.205,4.505
25,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:27:35,0.209,4.48
25,UniBlvd,lower,2018.09.17 16:30,2018.09.18  02:27:55,0.215,4.504